Шаг 1: Исходная таблица частот
Индекс;Символ;Повтор;Частота
1;ПРОБЕЛ;8;0,1290
2;А;8;0,1290
3;О;6;0,0968
4;В;4;0,0645
5;Е;4;0,0645
6;Г;4;0,0645
7;С;3;0,0484
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
11;0;2;0,0323
12;Д;2;0,0323
13;И;2;0,0323
14;ЗАПЯТАЯ;2;0,0323
15;Т;2;0,0323
16;1;1;0,0161
17;4;1;0,0161
18;У;1;0,0161
19;2;1;0,0161
20;3;1;0,0161
21;М;1;0,0161


Шаг 2: Объединены М и 2
Индекс;Символ;Повтор;Частота
18;У;1;0,0161
17;4;1;0,0161
16;1;1;0,0161
20;3;1;0,0161
15;Т;2;0,0323
14;ЗАПЯТАЯ;2;0,0323
13;И;2;0,0323
12;Д;2;0,0323
11;0;2;0,0323
9;К;3;0,0484
8;Н;3;0,0484
7;С;3;0,0484
10;Р;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
21, 19;М, 2;1, 1;0,01610,0161


Шаг 3: Объединены У и 4
Индекс;Символ;Повтор;Частота
16;1;1;0,0161
20;3;1;0,0161
21, 19;М, 2;1, 1;0,01610,0161
14;ЗАПЯТАЯ;2;0,0323
13;И;2;0,0323
12;Д;2;0,0323
11;0;2;0,0323
15;Т;2;0,0323
8;Н;3;0,0484
7;С;3;0,0484
10;Р;3;0,0484
9;К;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
1;ПРОБЕЛ;8;0,1290
2;А;8;0,1290
18, 17;У, 4;1, 1;0,01610,0161


Шаг 4: Объединены 1 и 3
Индекс;Символ;Повтор;Частота
18, 17;У, 4;1, 1;0,01610,0161
21, 19;М, 2;1, 1;0,01610,0161
14;ЗАПЯТАЯ;2;0,0323
13;И;2;0,0323
12;Д;2;0,0323
11;0;2;0,0323
15;Т;2;0,0323
8;Н;3;0,0484
10;Р;3;0,0484
9;К;3;0,0484
7;С;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
16, 20;1, 3;1, 1;0,01610,0161


Шаг 5: Объединены У, 4 и 1, 3
Индекс;Символ;Повтор;Частота
21, 19;М, 2;1, 1;0,01610,0161
14;ЗАПЯТАЯ;2;0,0323
13;И;2;0,0323
12;Д;2;0,0323
11;0;2;0,0323
15;Т;2;0,0323
8;Н;3;0,0484
9;К;3;0,0484
7;С;3;0,0484
10;Р;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
1;ПРОБЕЛ;8;0,1290
2;А;8;0,1290
18, 17, 16, 20;У, 4, 1, 3;1, 1, 1, 1;0,01610,01610,01610,0161


Шаг 6: Объединены М, 2 и У, 4, 1, 3
Индекс;Символ;Повтор;Частота
13;И;2;0,0323
12;Д;2;0,0323
11;0;2;0,0323
15;Т;2;0,0323
14;ЗАПЯТАЯ;2;0,0323
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
7;С;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
21, 19, 18, 17, 16, 20;М, 2, У, 4, 1, 3;1, 1, 1, 1, 1, 1;0,01610,01610,01610,01610,01610,0161


Шаг 7: Объединены М, 2, У, 4, 1, 3 и И
Индекс;Символ;Повтор;Частота
12;Д;2;0,0323
11;0;2;0,0323
15;Т;2;0,0323
14;ЗАПЯТАЯ;2;0,0323
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
7;С;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
21, 19, 18, 17, 16, 20, 13;М, 2, У, 4, 1, 3, И;1, 1, 1, 1, 1, 1, 2;0,01610,01610,01610,01610,01610,01610,0323


Шаг 8: Объединены М, 2, У, 4, 1, 3, И и Д
Индекс;Символ;Повтор;Частота
11;0;2;0,0323
15;Т;2;0,0323
14;ЗАПЯТАЯ;2;0,0323
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
7;С;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
21, 19, 18, 17, 16, 20, 13, 12;М, 2, У, 4, 1, 3, И, Д;1, 1, 1, 1, 1, 1, 2, 2;0,01610,01610,01610,01610,01610,01610,03230,0323


Шаг 9: Объединены М, 2, У, 4, 1, 3, И, Д и 0
Индекс;Символ;Повтор;Частота
15;Т;2;0,0323
14;ЗАПЯТАЯ;2;0,0323
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
7;С;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
21, 19, 18, 17, 16, 20, 13, 12, 11;М, 2, У, 4, 1, 3, И, Д, 0;1, 1, 1, 1, 1, 1, 2, 2, 2;0,01610,01610,01610,01610,01610,01610,03230,03230,0323


Шаг 10: Объединены М, 2, У, 4, 1, 3, И, Д, 0 и Т
Индекс;Символ;Повтор;Частота
14;ЗАПЯТАЯ;2;0,0323
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
7;С;3;0,0484
6;Г;4;0,0645
5;Е;4;0,0645
4;В;4;0,0645
3;О;6;0,0968
2;А;8;0,1290
1;ПРОБЕЛ;8;0,1290
21, 19, 18, 17, 16, 20, 13, 12, 11, 15;М, 2, У, 4, 1, 3, И, Д, 0, Т;1, 1, 1, 1, 1, 1, 2, 2, 2, 2;0,01610,01610,01610,01610,01610,01610,03230,03230,03230,0323


Шаг 11: Объединены М, 2, У, 4, 1, 3, И, Д, 0, Т и ЗАПЯТАЯ
Индекс;Символ;Повтор;Частота
8;Н;3;0,0484
9;К;3;0,0484
10;Р;3;0,0484
7;С;3;0,0484
